"","id","text","retweetCount","CreatedAt","author.id","author.userName","author.followers","author.following","author.createdAt","isRetweet","date"
"1498523","1656129015915376641","@RepMattGaetz Difference btw asylum and work visa for low skill worker?
Asylum: Green Card
Low skill visa: NO GREEN CARD",0,"Wed May 10 02:48:21 +0000 2023","4042869442","loveamericatoom",116,534,"Mon Oct 26 01:16:37 +0000 2015",FALSE,"2023-05-09 19:48:21"
"1498524","1656128806648975360","@RepMattGaetz Number of visas for low skill workers: 40K a YEAR with not privilege for Green Card/life in US. Asylum gives them that. https://t.co/SxKm3lCGxx",0,"Wed May 10 02:47:31 +0000 2023","4042869442","loveamericatoom",116,534,"Mon Oct 26 01:16:37 +0000 2015",FALSE,"2023-05-09 19:47:31"
"1498531","1656123192627576832","@BillFOXLA Why? 
US cap on work visas per year: 140k (40k for low skills with no eligibility for Green Card) https://t.co/wVBAZvcWM7",0,"Wed May 10 02:25:13 +0000 2023","4042869442","loveamericatoom",116,534,"Mon Oct 26 01:16:37 +0000 2015",FALSE,"2023-05-09 19:25:13"
"1498727","1656216694400983042","@dave24144975 So clearly intend to house them all for free. they never seem to get past processing. So none fail asylum. 99.9% seems to be failed asylum; so why no deportation? Gov are importing whole nations here; why?",0,"Wed May 10 08:36:45 +0000 2023","1124272416757309441","LesTodd10",343,70,"Fri May 03 11:20:06 +0000 2019",FALSE,"2023-05-10 01:36:45"
"1498737","1656212951299227648","Both the ANC, DA &amp; EFF is against mass deportation @goolammv, only Action, IFP &amp; ATM agrees with our views regarding illegal foreigners. We unfortunately are unable to form a government with only like minded parties because we lack the necessary numbers.",53,"Wed May 10 08:21:53 +0000 2023","284688385","GaytonMcK",246458,1678,"Tue Apr 19 19:34:40 +0000 2011",FALSE,"2023-05-10 01:21:53"
"1498831","1655268548288159746","@jeffsprogress @LeeAndersonMP_ That’s not what he said at all. He pointed out that if someone was so unhappy with Britain and what it stands for they can always emigrate to somewhere better. That is totally different from “telling people to leave the country” Total misrepresentation by the Guardian!",1,"Sun May 07 17:49:09 +0000 2023","295911940","suemcdonald342",7032,5851,"Mon May 09 21:36:22 +0000 2011",FALSE,"2023-05-07 10:49:09"
"1498862","1656413492444839943","What is the point of this? A curfew for asylum seeking families? What is that supposed to do?",19,"Wed May 10 21:38:45 +0000 2023","1034469513385963521","ReichlinMelnick",44293,1977,"Tue Aug 28 15:55:26 +0000 2018",FALSE,"2023-05-10 14:38:45"
"1498881","1656426395428331521","#LeftBias #SanDiego #Ca
'Nothing Like This Has Been Seen Before': Migrants Amass Along Border as Restrictions Near End
https://t.co/GlHaVLjeOq
9 May 2023

#FrontPage qt-fp-2711 #BorderObserver https://t.co/bM6utcvfvE",0,"Wed May 10 22:30:02 +0000 2023","895388295496073221","borderObserver",3148,464,"Wed Aug 09 20:56:19 +0000 2017",FALSE,"2023-05-10 15:30:02"
"1498882","1656426391121059843","Under the plan, known as Family Expedited Removal Management, migrant families will be directed to appear for an initial asylum screening, known as a credible fear interview, in the cities they are going to. https://t.co/dFpphdz5mh",1,"Wed May 10 22:30:01 +0000 2023","16664681","latimes",3926563,6746,"Thu Oct 09 11:07:42 +0000 2008",FALSE,"2023-05-10 15:30:01"
"1498891","1656426156101337089","Up to 1,000 migrants arriving daily in NYC — and that number could skyrocket with Title 42 lift: city official https://t.co/3OBSRRiKof https://t.co/a02ao89HzE",42,"Wed May 10 22:29:05 +0000 2023","17469289","nypost",3123675,10585,"Tue Nov 18 19:46:36 +0000 2008",FALSE,"2023-05-10 15:29:05"
"1498893","1656426107619659776","#InvasionUSA #joebidenDESTROYSAmerica #bloodyhandsbiden #joebidenHATESAmerica #WORSTpresidentEVER #Treasonousjoebiden #FJB #ihatejoebiden Democrat Rep. Cuellar warns 150,000 migrants already planning to cross border, urges Biden to 'send them back' https://t.co/utTl25KJir",1,"Wed May 10 22:28:53 +0000 2023","469913850","pasqueflower19",22637,22586,"Sat Jan 21 03:59:17 +0000 2012",FALSE,"2023-05-10 15:28:53"
"1498930","1656401228648128518","@harman_geoff @miffythegamer @Paul68958640 No I meant how did Golding know that those men on the train were refugees 🥰",0,"Wed May 10 20:50:02 +0000 2023","29177890","gailmarie1958",2697,2641,"Mon Apr 06 10:40:56 +0000 2009",FALSE,"2023-05-10 13:50:02"
